time_stamp,GDET:FEE1:241:ENRC,GDET:FEE1:241:CALI,BEND:LTU0:125:BCTRL,FBCK:BCI0:1:CHRGSP,FBCK:BCI0:1:ENABLE,QUAD:LI21:201:BCTRL,QUAD:LI21:211:BCTRL,QUAD:LI21:271:BCTRL,QUAD:LI21:278:BCTRL,QUAD:LI26:201:BCTRL,QUAD:LI26:301:BCTRL,QUAD:LI26:401:BCTRL,QUAD:LI26:501:BCTRL,QUAD:LI26:601:BCTRL,QUAD:LI26:701:BCTRL,QUAD:LI26:801:BCTRL,QUAD:LI26:901:BCTRL,QUAD:LTU1:620:BCTRL,QUAD:LTU1:640:BCTRL,QUAD:LTU1:660:BCTRL,QUAD:LTU1:680:BCTRL
1400971146.0,3.78933208307,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.6150605321,17.1266013396,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971153.0,3.72779942413,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.5564667821,17.1266013396,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971162.0,3.61211977121,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.3826386571,17.1266013396,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971184.0,3.7699952761,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.1814667821,17.1266013396,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971194.0,3.76195213079,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-5.9685761571,17.1266013396,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971203.0,3.73970476689,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-5.7908417821,17.1266013396,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971212.0,3.44893616541,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-5.6502167821,17.1266013396,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971223.0,3.6722652358,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-5.4822480321,17.1266013396,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971233.0,3.35664701307,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-4.8826386571,17.1266013396,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971237.0,3.35095038709,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-4.9646699071,17.1266013396,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971263.0,3.70674499205,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-5.3670136571,17.1266013396,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971269.0,3.61990010881,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-5.4666230321,17.1266013396,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971284.0,3.74052177611,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-5.5994355321,17.1266013396,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971294.0,3.79764848692,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-5.8592011571,17.1266013396,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971297.0,3.68258020772,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.0213105321,17.1266013396,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971331.0,3.68463441111,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.2400605321,17.1266013396,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971336.0,3.67850346081,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.2830292821,17.1266013396,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971357.0,3.80597226783,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.2830292821,16.8433982146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971369.0,3.69475204672,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.2830292821,16.6402732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971379.0,3.74746666184,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.2830292821,16.3707419646,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971389.0,3.65029604848,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.2830292821,15.9820700896,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971399.0,3.60913943961,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.2830292821,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971403.0,3.53388791104,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.1209199071,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971414.0,3.63170555391,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-5.7674042821,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971424.0,3.77990881309,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.2576386571,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971434.0,3.75169371631,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.5427949071,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971444.0,3.77029988713,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.8748261571,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971450.0,3.74523817545,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.9021699071,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971479.0,3.64867739891,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.9314667821,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971494.0,3.58384412108,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-7.0838105321,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971497.0,3.58809822476,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-7.2439667821,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971514.0,3.74193817132,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-7.2244355321,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971519.0,3.64602903494,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-7.0740449071,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971534.0,3.74905887695,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.9099824071,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971539.0,3.7421849954,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-7.2361542821,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971551.0,3.69485102225,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.58356800294,-6.6150605321,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971577.0,3.69685696738,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.66364612794,-6.6150605321,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971586.0,3.59358982999,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,6.11481800294,-6.6150605321,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971597.0,3.64752811468,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,6.55427112794,-6.6150605321,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971605.0,3.47302287588,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,7.37458362794,-6.6150605321,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971617.0,3.67462312809,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,7.24177112794,-6.6150605321,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971626.0,3.776093337,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.85895862794,-6.6150605321,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971636.0,3.72476376459,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.64997425294,-6.6150605321,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971645.0,3.82705897453,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.35309925294,-6.6150605321,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971657.0,3.72920475375,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,5.07184925294,-6.6150605321,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971666.0,3.52683943911,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,4.83747425294,-6.6150605321,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971676.0,3.66485713227,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,4.61286487794,-6.6150605321,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971686.0,3.58809238459,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,4.23786487794,-6.6150605321,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400971696.0,3.60760624097,-2.4590195143e-06,11.45,0.18,1.0,-7.43339598348,6.60074117618,-7.79161103419,10.4896405479,4.31794300294,-6.6150605321,16.7652732146,-12.5638023266,16.2550712482,-12.2308328599,11.3827306467,-7.9532768836,-70.2703,64.787905,-75.53653375,63.63517
1400972451.0,3.40498149977,-2.4590195143e-06,11.45,0.18,1.0,-7.36898,6.63028,-7.81235,10.4896405479,5.20657,-6.6150605321,17.05724,-12.41621,16.2550712482,-12.2308328599,10.68263,-7.9532768836,-70.2703,65.19415,-75.53653375,63.63517
1400972654.0,3.35567231923,-2.4590195143e-06,11.45,0.18,1.0,-7.36898,6.63028,-7.81235,10.4896405479,5.20657,-6.95644,17.05724,-12.41621,16.85684,-12.50227,10.68263,-7.89745,-69.06322,65.19415,-74.84898,60.59608
1400973055.0,3.63058762218,-2.4590195143e-06,11.45,0.18,1.0,-7.36898,6.63028,-7.81235,10.4896405479,5.20657,-6.95644,17.05724,-12.41621,16.85684,-12.50227,10.68263,-7.89745,-68.89916,65.19415,-74.84898,60.59608
1400973065.0,3.54555319203,-2.4590195143e-06,11.45,0.18,1.0,-7.36898,6.63028,-7.81235,10.4896405479,5.20657,-6.95644,17.05724,-12.41621,16.85684,-12.50227,10.68263,-7.89745,-67.19604,65.19415,-74.84898,60.59608
1400973075.0,3.60938134565,-2.4590195143e-06,11.45,0.18,1.0,-7.36898,6.63028,-7.81235,10.4896405479,5.20657,-6.95644,17.05724,-12.41621,16.85684,-12.50227,10.68263,-7.89745,-69.37966,65.19415,-74.84898,60.59608
1400973085.0,3.60060817894,-2.4590195143e-06,11.45,0.18,1.0,-7.36898,6.63028,-7.81235,10.4896405479,5.20657,-6.95644,17.05724,-12.41621,16.85684,-12.50227,10.68263,-7.89745,-71.24295,65.19415,-74.84898,60.59608
1400973095.0,3.66893879721,-2.4590195143e-06,11.45,0.18,1.0,-7.36898,6.63028,-7.81235,10.4896405479,5.20657,-6.95644,17.05724,-12.41621,16.85684,-12.50227,10.68263,-7.89745,-71.69999,65.19415,-74.84898,60.59608
1400973105.0,3.74315938187,-2.4590195143e-06,11.45,0.18,1.0,-7.36898,6.63028,-7.81235,10.4896405479,5.20657,-6.95644,17.05724,-12.41621,16.85684,-12.50227,10.68263,-7.89745,-69.27812,65.19415,-74.84898,60.59608
1400973107.0,3.63126877057,-2.4590195143e-06,11.45,0.18,1.0,-7.36898,6.63028,-7.81235,10.4896405479,5.20657,-6.95644,17.05724,-12.41621,16.85684,-12.50227,10.68263,-7.89745,-69.06322,65.19415,-74.84898,60.59608
